ObservationDate,Province/State,Country/Region,Confirmed,Deaths
181,,Afghanistan,14948404,616499
182,,Afghanistan,15229518,623495
183,,Afghanistan,15512286,633455
184,,Afghanistan,15794227,639704
185,,Afghanistan,16047943,645302
186,,Afghanistan,16253906,648698
187,,Afghanistan,16488295,654150
188,,Afghanistan,16692174,659716
189,,Afghanistan,17030363,667111
190,,Afghanistan,17311131,673313
191,,Afghanistan,17602706,679636
192,,Afghanistan,17853427,685196
193,,Afghanistan,18085419,689508
194,,Afghanistan,18288826,694139
195,,Afghanistan,18547781,700886
196,,Afghanistan,18821765,707932
197,,Afghanistan,19108404,715061
198,,Afghanistan,19391400,721454
199,,Afghanistan,19650763,726918
200,,Afghanistan,19877133,731482
201,,Afghanistan,20104102,736636
202,,Afghanistan,20358571,742869
203,,Afghanistan,20647523,749850
204,,Afghanistan,20923569,755836
205,,Afghanistan,21227953,765968
206,,Afghanistan,21478626,771351
207,,Afghanistan,21692817,775556
208,,Afghanistan,21903309,774354
209,,Afghanistan,22159321,781241
210,,Afghanistan,22434278,787963
211,,Afghanistan,22702184,793997
212,,Afghanistan,22973877,799509
213,,Afghanistan,23228221,804689
214,,Afghanistan,23446160,808947
215,,Afghanistan,23672236,813418
216,,Afghanistan,23915484,819696
217,,Afghanistan,24202900,825976
218,,Afghanistan,24478361,831876
219,,Afghanistan,24762417,837412
220,,Afghanistan,25024969,842666
221,,Afghanistan,25251895,846698
222,,Afghanistan,25514328,850849
223,,Afghanistan,25779773,857303
224,,Afghanistan,26062319,863393
225,,Afghanistan,26336024,869112
226,,Afghanistan,26641921,874762
227,,Afghanistan,26903971,879707
228,,Afghanistan,27136448,883755
229,,Afghanistan,27365219,892875
230,,Afghanistan,27603671,897774
231,,Afghanistan,27897933,904133
232,,Afghanistan,28196263,909927
233,,Afghanistan,28517111,915813
234,,Afghanistan,28793815,920698
235,,Afghanistan,29030132,924351
236,,Afghanistan,29226365,927738
237,,Afghanistan,29595677,935317
238,,Afghanistan,29898846,941129
239,,Afghanistan,30213860,946598
240,,Afghanistan,30539344,952298
241,,Afghanistan,30819195,957535
242,,Afghanistan,31061840,961231
243,,Afghanistan,31361132,965362
244,,Afghanistan,31645854,971371
245,,Afghanistan,31907958,976953
246,,Afghanistan,32272038,983647
247,,Afghanistan,32607482,989547
248,,Afghanistan,32882111,994831
249,,Afghanistan,33126122,998445
250,,Afghanistan,33399009,1002358
251,,Afghanistan,33685627,1008438
252,,Afghanistan,34012686,1014879
253,,Afghanistan,34325014,1023422
254,,Afghanistan,34630184,1028567
255,,Afghanistan,34932145,1033912
256,,Afghanistan,35195715,1037682
257,,Afghanistan,35520944,1044673
258,,Afghanistan,35851041,1050442
259,,Afghanistan,36199457,1056277
260,,Afghanistan,36561377,1062476
261,,Afghanistan,36921766,1068629
262,,Afghanistan,37251481,1073436
263,,Afghanistan,37522691,1077344
264,,Afghanistan,37847770,1081264
265,,Afghanistan,38176501,1086712
266,,Afghanistan,38557557,1092752
267,,Afghanistan,38965112,1098846
268,,Afghanistan,39375997,1104975
269,,Afghanistan,39716916,1110444
270,,Afghanistan,40003882,1113809
271,,Afghanistan,40452270,1118774
272,,Afghanistan,40841069,1125344
273,,Afghanistan,41284717,1131988
274,,Afghanistan,41757418,1137850
275,,Afghanistan,42262654,1144825
276,,Afghanistan,42672682,1150455
277,,Afghanistan,43065252,1154547
278,,Afghanistan,43557602,1160133
279,,Afghanistan,44028096,1167505
280,,Afghanistan,44544238,1174662
281,,Afghanistan,45083158,1181691
282,,Afghanistan,45648735,1189515
283,,Afghanistan,46134594,1196069
284,,Afghanistan,46575885,1201012
285,,Afghanistan,47026169,1206728
286,,Afghanistan,47505628,1214848
287,,Afghanistan,48190516,1226350
288,,Afghanistan,48784484,1234386
